,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[472],0.002,0.001,0.001,0.003
likelihood_unobserved[473],0.005,0.001,0.005,0.006
likelihood_unobserved[474],0.003,0.001,0.002,0.004
likelihood_unobserved[475],0.003,0.001,0.002,0.004
likelihood_unobserved[476],0.003,0.0,0.003,0.004
likelihood_unobserved[477],0.002,0.0,0.002,0.002
likelihood_unobserved[478],0.006,0.005,0.001,0.011
likelihood_unobserved[479],0.003,0.001,0.002,0.005
likelihood_unobserved[480],0.003,0.001,0.003,0.004
likelihood_unobserved[481],0.006,0.005,0.001,0.012
likelihood_unobserved[482],0.003,0.0,0.002,0.003
likelihood_unobserved[483],0.003,0.001,0.002,0.004
likelihood_unobserved[484],0.004,0.002,0.001,0.006
likelihood_unobserved[485],0.007,0.004,0.003,0.01
likelihood_unobserved[486],0.003,0.001,0.002,0.004
